2026-04-18 00:44:40.163 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.232 mean=0.253 z=-0.39
2026-04-18 00:44:40.164 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.253 mean=0.251 z=+0.05
2026-04-18 00:44:40.164 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.238 mean=0.249 z=-0.21
2026-04-18 00:44:40.164 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.232 mean=0.247 z=-0.30
2026-04-18 00:44:40.164 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.251 mean=0.245 z=+0.13
2026-04-18 00:44:40.165 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.266 mean=0.244 z=+0.44
2026-04-18 00:44:40.165 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.268 mean=0.243 z=+0.51
2026-04-18 00:44:40.165 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.323 mean=0.244 z=+1.63
2026-04-18 00:44:40.165 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.356 mean=0.246 z=+2.22
2026-04-18 00:44:40.166 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.335 mean=0.249 z=+1.66
2026-04-18 00:44:40.166 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.308 mean=0.251 z=+1.06
2026-04-18 00:44:40.166 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.275 mean=0.254 z=+0.40
2026-04-18 00:44:40.166 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.341 mean=0.256 z=+1.66
2026-04-18 00:44:40.167 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.333 mean=0.260 z=+1.44
2026-04-18 00:44:40.167 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.306 mean=0.264 z=+0.86
2026-04-18 00:44:40.167 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.315 mean=0.267 z=+1.02
2026-04-18 00:44:40.167 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.311 mean=0.270 z=+0.92
2026-04-18 00:44:40.168 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.269 mean=0.274 z=-0.12
2026-04-18 00:44:40.168 | DEBUG    | strategies.mean_reversion:generate_signal:62 - Will the Fed cut rates in June 2025?... | price=0.254 mean=0.275 z=-0.56
